,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,Industrial and Commercial Bank of China Limited,5.74,4.59,5.34,476.13
1,China Construction Bank,5.02,4.02,4.67,416.41
2,Agricultural Bank of China,4.92,3.94,4.58,408.11
3,Bank of China,4.19,3.35,3.9,347.56
4,JPMorgan Chase,3.87,3.1,3.6,321.02
5,Bank of America,3.05,2.44,2.84,253.0
6,Mitsubishi UFJ Financial Group,2.97,2.38,2.76,246.36
7,HSBC,2.86,2.29,2.66,237.24
8,BNP Paribas,2.85,2.28,2.65,236.41
9,Crédit Agricole,2.54,2.03,2.36,210.69
10,Citigroup Inc.,2.42,1.94,2.25,200.74
11,Postal Savings Bank of China,2.04,1.63,1.9,169.22
12,SMBC Group,2.01,1.61,1.87,166.73
13,Mizuho Financial Group,1.91,1.53,1.78,158.43
14,Bank of Communications,1.88,1.5,1.75,155.95
15,Wells Fargo,1.88,1.5,1.75,155.95
16,Banco Santander,1.85,1.48,1.72,153.46
17,Barclays,1.82,1.46,1.69,150.97
18,Japan Post Bank,1.72,1.38,1.6,142.67
19,UBS,1.68,1.34,1.56,139.36
20,Groupe BPCE,1.64,1.31,1.53,136.04
21,Société Générale,1.59,1.27,1.48,131.89
22,Royal Bank of Canada,1.54,1.23,1.43,127.74
23,Toronto-Dominion Bank,1.52,1.22,1.41,126.08
24,China Merchants Bank,1.47,1.18,1.37,121.94
25,Goldman Sachs,1.44,1.15,1.34,119.45
26,Deutsche Bank,1.43,1.14,1.33,118.62
27,Industrial Bank (China),1.34,1.07,1.25,111.15
28,China CITIC Bank,1.24,0.99,1.15,102.86
29,Shanghai Pudong Development Bank,1.18,0.94,1.1,97.88
30,Morgan Stanley,1.18,0.94,1.1,97.88
31,Crédit Mutuel,1.18,0.94,1.1,97.88
32,Lloyds Banking Group,1.06,0.85,0.99,87.93
33,China Minsheng Bank,1.05,0.84,0.98,87.1
34,Intesa Sanpaolo,1.04,0.83,0.97,86.27
35,ING Group,1.03,0.82,0.96,85.44
36,Scotiabank,1.03,0.82,0.96,85.44
37,UniCredit,0.92,0.74,0.86,76.31
38,China Everbright Bank,0.91,0.73,0.85,75.48
39,NatWest Group,0.87,0.7,0.81,72.17
40,Bank of Montreal,0.86,0.69,0.8,71.34
41,Commonwealth Bank,0.84,0.67,0.78,69.68
42,Standard Chartered,0.82,0.66,0.76,68.02
43,La Banque postale,0.8,0.64,0.74,66.36
44,Ping An Bank,0.77,0.62,0.72,63.87
45,Banco Bilbao Vizcaya Argentaria,0.76,0.61,0.71,63.04
46,Norinchukin Bank,0.75,0.6,0.7,62.21
47,State Bank of India,0.69,0.55,0.64,57.24
48,Canadian Imperial Bank of Commerce,0.69,0.55,0.64,57.24
49,National Australia Bank,0.68,0.54,0.63,56.41
50,U.S.Bancorp,0.67,0.54,0.62,55.58
51,Rabobank,0.67,0.54,0.62,55.58
52,DZ Bank,0.67,0.54,0.62,55.58
53,Australia and New Zealand Banking Group,0.67,0.54,0.62,55.58
54,Westpac,0.65,0.52,0.6,53.92
55,Nordea,0.64,0.51,0.6,53.09
56,CaixaBank,0.6,0.48,0.56,49.77
57,Sberbank of Russia,0.57,0.46,0.53,47.28
58,KB Financial Group Inc,0.56,0.45,0.52,46.45
59,PNC Financial Services,0.56,0.45,0.52,46.45
60,Resona Holdings,0.56,0.45,0.52,46.45
61,Truist Financial Corp,0.56,0.45,0.52,46.45
62,DBS Bank,0.55,0.44,0.51,45.62
63,Danske Bank,0.54,0.43,0.5,44.79
64,Huaxia Bank,0.54,0.43,0.5,44.79
65,Shinhan Bank,0.54,0.43,0.5,44.79
66,China Guangfa Bank,0.53,0.42,0.49,43.96
67,Sumitomo Mitsui Trust Holdings,0.52,0.42,0.48,43.13
68,Commerzbank,0.51,0.41,0.47,42.3
69,Capital One,0.46,0.37,0.43,38.16
70,Hana Financial Group,0.45,0.36,0.42,37.33
71,Bank of Beijing,0.45,0.36,0.42,37.33
72,Itaú Unibanco,0.44,0.35,0.41,36.5
73,OCBC Bank,0.42,0.34,0.39,34.84
74,Nonghyup Bank,0.42,0.34,0.39,34.84
75,Bank of Jiangsu,0.41,0.33,0.38,34.01
76,The Bank of New York Mellon,0.41,0.33,0.38,34.01
77,ABN AMRO,0.41,0.33,0.38,34.01
78,Bank of Shanghai,0.41,0.33,0.38,34.01
79,Woori Bank,0.38,0.3,0.35,31.52
80,KBC Bank,0.38,0.3,0.35,31.52
81,China Zheshang Bank,0.38,0.3,0.35,31.52
82,Banco do Brasil,0.38,0.3,0.35,31.52
83,United Overseas Bank,0.38,0.3,0.35,31.52
84,Nomura Holdings,0.37,0.3,0.34,30.69
85,Landesbank Baden-Württemberg,0.35,0.28,0.33,29.03
86,Erste Group,0.35,0.28,0.33,29.03
87,Industrial Bank of Korea,0.34,0.27,0.32,28.2
88,Bank of Ningbo,0.34,0.27,0.32,28.2
89,Banco Bradesco,0.34,0.27,0.32,28.2
90,SEB Group,0.34,0.27,0.32,28.2
91,VTB Bank,0.34,0.27,0.32,28.2
92,Handelsbanken,0.33,0.26,0.31,27.37
93,DNB ASA,0.33,0.26,0.31,27.37
94,Qatar National Bank,0.32,0.26,0.3,26.54
95,National Bank of Canada,0.31,0.25,0.29,25.71
96,Macquarie Group,0.31,0.25,0.29,25.71
97,Nationwide Building Society,0.31,0.25,0.29,25.71
98,Raiffeisen Gruppe,0.3,0.24,0.28,24.88
99,First Abu Dhabi Bank,0.3,0.24,0.28,24.88
